order_id,customer_id,product_category,order_amount,order_date
1061,186,Books,121.64,2023-08-25
1062,323,Books,488.24,2022-12-07
1063,56,Electronics,337.0,2023-12-05
1064,40,Home,15.11,2022-11-14
1065,354,Toys,135.15,2023-09-10
1066,40,Books,137.75,2022-12-29
1067,347,Home,43.93,2023-01-17
1068,461,Electronics,480.31,2022-08-21
1069,237,Clothing,244.35,2022-12-10
1070,289,Home,448.95,2023-07-03
1071,262,Home,167.89,2023-07-07
1072,216,Clothing,71.36,2023-06-13
1073,147,Home,242.42,2023-07-25
1074,336,Electronics,65.84,2022-07-02
1075,168,Electronics,248.15,2022-02-10
1076,92,Clothing,460.95,2023-07-05
1077,353,Toys,265.18,2023-02-01
1078,59,Books,312.08,2023-12-05
1079,59,Toys,86.75,2023-05-09
1080,304,Home,31.43,2023-10-21
1081,169,Books,64.3,2022-11-29
1082,269,Clothing,303.28,2022-05-07
1083,363,Clothing,56.56,2023-07-12
1084,45,Books,194.24,2023-07-11
1085,345,Electronics,279.55,2022-01-01
1086,181,Books,200.44,2022-06-17
1087,170,Home,90.21,2023-09-12
1088,356,Electronics,144.16,2022-01-19
1089,191,Clothing,464.88,2022-11-28
1090,155,Books,341.23,2023-08-07
1091,422,Toys,253.06,2023-04-01
1092,188,Toys,16.23,2022-04-19
1093,7,Home,496.28,2022-09-25
1094,133,Toys,339.01,2023-03-21
1095,235,Books,165.29,2022-08-28
1096,45,Books,440.84,2022-10-28
1097,314,Toys,136.63,2023-08-25
1098,249,Books,276.57,2022-04-13
1099,499,Home,321.67,2022-09-07
1100,31,Electronics,118.32,2023-03-29
1101,23,Home,489.41,2023-06-04
1102,426,Home,376.61,2022-06-02
1103,394,Books,283.33,2022-06-23
1104,160,Electronics,98.49,2022-12-09
1105,363,Books,36.39,2023-11-01
1106,437,Clothing,166.83,2023-03-07
1107,158,Books,379.06,2023-12-28
1108,39,Books,141.97,2023-11-20
1109,415,Books,274.38,2023-11-18
1110,82,Electronics,366.69,2023-10-20
1111,356,Books,62.89,2022-11-20
1112,258,Electronics,345.8,2023-11-04
1113,206,Toys,55.02,2023-10-01
1114,77,Clothing,482.91,2023-02-24
1115,477,Electronics,249.31,2023-08-17
1116,12,Toys,83.83,2023-04-30
1117,295,Electronics,177.77,2023-10-21
1118,450,Electronics,212.57,2023-02-16
1119,224,Clothing,381.51,2022-03-25
1120,13,Home,374.28,2022-04-23
1121,46,Home,309.85,2022-11-28
1122,155,Electronics,61.91,2023-01-13
1123,113,Books,84.27,2023-10-17
1124,233,Toys,55.94,2022-02-10
1125,17,Books,292.81,2022-04-15
1126,360,Books,439.8,2022-07-21
1127,223,Electronics,222.56,2023-03-26
1128,354,Electronics,88.82,2022-09-23
1129,188,Electronics,283.44,2022-07-29
1130,448,Electronics,407.76,2023-07-17
1131,344,Home,373.44,2022-04-28
1132,365,Electronics,441.91,2023-12-14
1133,163,Home,146.17,2023-01-12
1134,496,Home,105.04,2023-07-05
1135,326,Electronics,441.11,2023-06-24
1136,467,Clothing,332.2,2022-03-25
1137,414,Toys,162.36,2023-03-30
1138,455,Books,373.75,2023-10-29
1139,74,Home,409.41,2023-09-21
1140,233,Toys,311.34,2023-05-29
1141,224,Clothing,347.06,2023-08-28
1142,482,Books,193.88,2023-11-09
1143,319,Books,273.96,2023-01-22
1144,412,Home,266.84,2022-12-16
1145,60,Electronics,425.54,2022-10-23
1146,335,Clothing,421.58,2022-09-15
1147,222,Home,418.01,2022-03-22
1148,37,Clothing,15.41,2022-09-25
1149,477,Electronics,377.28,2023-02-23
1150,278,Electronics,381.75,2022-08-23
1151,196,Home,342.41,2022-11-07
1152,404,Electronics,380.57,2022-12-23
1153,352,Toys,422.57,2022-08-01
1154,484,Books,240.46,2023-07-28
1155,242,Home,256.0,2022-02-18
1156,324,Clothing,71.11,2022-05-07
1157,219,Toys,198.83,2022-08-11
1158,192,Home,325.25,2022-10-06
1159,17,Electronics,392.4,2023-02-12
1160,12,Electronics,116.43,2023-05-20
1161,406,Electronics,77.53,2022-10-21
1162,401,Electronics,334.89,2022-10-04
1163,394,Clothing,10.92,2023-03-14
1164,374,Toys,97.4,2022-04-17
1165,193,Books,24.24,2023-10-20
1166,22,Clothing,91.77,2023-02-24
1167,474,Clothing,98.85,2023-09-03
1168,120,Books,199.96,2023-03-05
1169,210,Books,207.14,2023-01-10
1170,306,Electronics,438.39,2022-03-14
1171,270,Clothing,259.95,2023-09-26
1172,192,Home,364.47,2022-01-30
1173,175,Books,61.03,2022-07-07
1174,285,Books,120.46,2022-12-30
1175,204,Toys,354.44,2023-03-27
1176,164,Home,35.87,2022-07-14
1177,251,Home,248.43,2022-06-05
1178,227,Books,303.69,2022-06-21
1179,436,Electronics,305.05,2022-02-10
1180,381,Toys,21.24,2022-03-04
1181,460,Home,167.83,2022-01-23
1182,7,Books,321.88,2022-12-26
1183,29,Home,83.01,2022-03-16
1184,395,Toys,350.75,2023-07-14
1185,33,Toys,375.5,2023-11-03
1186,134,Clothing,491.16,2022-04-28
1187,367,Books,112.82,2023-09-04
1188,79,Toys,414.31,2023-01-15
1189,416,Clothing,264.95,2023-11-10
1190,435,Clothing,193.0,2022-10-17
1191,459,Home,69.96,2023-03-16
1192,58,Home,370.4,2023-10-30
1193,471,Clothing,125.57,2022-01-07
1194,26,Home,192.0,2022-07-15
1195,482,Toys,40.65,2023-02-25
1196,430,Electronics,402.67,2023-07-22
1197,226,Toys,385.63,2022-07-12
1198,285,Clothing,369.47,2023-07-13
1199,4,Clothing,156.73,2022-05-28
1200,465,Toys,95.01,2023-10-31
1201,99,Home,322.4,2022-07-21
1202,397,Home,253.12,2023-03-20
1203,489,Clothing,97.34,2023-02-23
1204,39,Books,346.1,2023-03-03
1205,271,Home,495.65,2023-04-24
1206,375,Toys,376.14,2023-04-20
1207,285,Home,372.59,2022-05-06
1208,157,Toys,475.65,2023-01-30
1209,75,Clothing,109.44,2023-07-30
1210,372,Home,287.12,2022-11-21
1211,288,Toys,490.03,2023-01-27
1212,130,Clothing,90.99,2023-11-19
1213,175,Books,353.12,2023-09-20
1214,462,Toys,297.05,2023-03-16
1215,84,Books,297.37,2022-07-23
1216,22,Books,351.86,2023-05-01
1217,459,Electronics,465.51,2022-01-31
1218,27,Home,393.47,2023-01-23
1219,195,Toys,37.51,2023-09-17
1220,337,Books,427.84,2023-03-10
1221,382,Electronics,120.52,2023-01-11
1222,236,Clothing,194.69,2022-12-10
1223,440,Toys,236.25,2023-03-19
1224,92,Books,245.64,2023-08-02
1225,477,Home,223.24,2022-03-16
1226,21,Electronics,469.3,2023-07-11
1227,303,Books,355.95,2023-10-28
1228,464,Home,319.27,2022-06-04
1229,357,Books,34.42,2023-03-06
1230,443,Toys,452.92,2022-12-29
1231,84,Toys,455.6,2023-03-24
1232,262,Toys,392.3,2022-08-22
1233,147,Electronics,13.44,2023-07-17
1234,441,Toys,38.07,2022-09-19
1235,453,Home,120.36,2022-05-05
1236,387,Books,74.36,2022-09-02
1237,257,Clothing,205.43,2023-06-26
1238,58,Home,462.09,2023-04-30
1239,380,Home,241.31,2022-05-02
1240,422,Toys,16.57,2022-05-05
1241,15,Electronics,148.55,2023-07-03
1242,162,Books,31.85,2022-06-19
1243,445,Electronics,27.78,2022-05-04
1244,163,Books,145.1,2022-02-04
1245,320,Books,145.05,2022-03-28
1246,497,Electronics,395.69,2023-10-08
1247,281,Home,487.67,2023-12-09
1248,280,Books,191.89,2022-07-20
1249,12,Electronics,220.15,2023-01-04
1250,274,Books,423.95,2022-03-18
1251,271,Clothing,141.39,2022-02-28
1252,492,Home,86.63,2023-03-07
1253,208,Toys,428.01,2023-09-30
1254,27,Books,32.79,2023-05-15
1255,72,Clothing,313.65,2022-04-19
1256,60,Toys,285.38,2022-10-05
1257,430,Toys,179.5,2022-03-09
1258,473,Books,164.44,2022-03-10
1259,145,Electronics,388.21,2022-06-14
1260,93,Books,52.35,2023-05-04
1261,309,Clothing,126.02,2022-11-01
1262,8,Toys,368.9,2023-11-05
1263,79,Books,278.68,2022-12-31
1264,27,Electronics,72.71,2023-01-14
1265,174,Books,442.25,2022-12-09
1266,50,Home,202.79,2023-07-08
1267,500,Electronics,415.66,2022-12-20
1268,199,Clothing,395.98,2023-02-20
1269,387,Toys,315.97,2022-04-19
1270,349,Books,252.3,2023-07-17
1271,448,Electronics,489.98,2023-05-12
1272,428,Home,81.03,2022-12-07
1273,181,Electronics,365.33,2023-01-18
1274,24,Home,103.68,2023-06-17
1275,316,Clothing,175.75,2022-10-27
1276,378,Toys,161.26,2022-05-19
1277,387,Clothing,474.05,2022-12-25
1278,404,Books,484.0,2023-05-14
1279,46,Electronics,99.68,2023-01-20
1280,15,Home,20.8,2023-08-27
1281,153,Home,362.8,2022-10-07
1282,222,Electronics,214.82,2023-09-29
1283,206,Electronics,53.53,2023-04-28
1284,455,Books,345.04,2022-04-21
1285,273,Clothing,277.1,2022-05-19
1286,382,Home,490.45,2023-03-11
1287,236,Books,121.43,2023-05-24
1288,340,Clothing,207.95,2022-09-30
1289,228,Books,275.85,2022-04-09
1290,9,Home,397.93,2022-04-14
1291,166,Electronics,278.93,2022-08-02
1292,432,Electronics,310.32,2023-10-26
1293,444,Clothing,120.81,2022-06-14
1294,319,Toys,424.99,2023-06-04
1295,214,Clothing,220.03,2022-10-11
1296,117,Toys,79.07,2023-06-01
1297,386,Books,335.45,2023-10-19
1298,344,Books,115.88,2023-09-05
1299,72,Home,57.81,2022-06-13
1300,395,Toys,432.37,2023-10-21
1301,64,Home,235.48,2022-03-05
1302,205,Electronics,377.15,2022-04-01
1303,209,Toys,152.39,2022-04-27
1304,72,Clothing,395.62,2022-09-24
1305,277,Electronics,64.85,2023-11-16
1306,274,Electronics,184.43,2023-07-13
1307,478,Clothing,489.25,2022-05-20
1308,320,Electronics,399.05,2022-09-03
1309,338,Toys,253.66,2023-10-23
1310,366,Home,176.49,2023-01-30
1311,495,Electronics,437.35,2023-05-02
1312,95,Toys,276.98,2023-04-21
1313,166,Books,381.63,2023-06-01
1314,32,Toys,379.51,2022-07-03
1315,11,Home,18.79,2022-01-20
1316,301,Toys,71.86,2023-07-12
1317,217,Clothing,333.22,2023-06-08
1318,289,Home,89.19,2023-08-05
1319,102,Books,135.19,2023-06-13
1320,425,Clothing,473.85,2022-05-27
1321,392,Toys,284.49,2023-10-28
1322,267,Home,377.86,2022-10-31
1323,214,Books,283.41,2023-09-12
1324,179,Clothing,280.73,2023-08-05
1325,88,Books,56.13,2023-11-26
1326,41,Toys,178.39,2022-08-16
1327,401,Books,148.39,2022-04-12
1328,76,Electronics,201.46,2023-08-10
1329,377,Clothing,401.19,2023-02-21
1330,46,Books,192.25,2022-08-04
1331,160,Toys,231.33,2023-02-11
1332,463,Toys,204.72,2023-02-03
1333,80,Books,55.77,2023-12-16
1334,310,Toys,226.13,2023-12-05
1335,86,Home,105.85,2023-05-14
1336,92,Home,101.49,2023-04-10
1337,148,Home,56.08,2023-11-22
1338,161,Electronics,184.77,2022-03-23
1339,202,Books,381.17,2023-08-27
1340,424,Electronics,145.46,2023-11-18
1341,416,Toys,163.05,2022-12-31
1342,242,Electronics,324.91,2022-06-12
1343,353,Toys,105.96,2022-02-17
1344,2,Toys,449.51,2023-05-26
1345,225,Clothing,264.89,2022-11-25
1346,289,Home,229.33,2022-04-26
1347,233,Toys,283.33,2022-12-03
1348,461,Clothing,91.36,2022-05-27
1349,414,Home,310.6,2023-07-29
1350,417,Toys,187.92,2022-11-19
1351,77,Toys,449.62,2023-03-19
1352,116,Electronics,92.74,2022-01-13
1353,154,Electronics,258.46,2023-05-09
1354,406,Home,303.08,2023-12-02
1355,103,Toys,26.36,2022-10-14
1356,194,Books,188.21,2023-12-21
1357,166,Electronics,368.99,2022-04-24
1358,359,Home,411.98,2023-04-25
1359,90,Toys,163.45,2022-01-22
1360,174,Toys,401.31,2022-12-15
1361,122,Books,484.2,2023-12-27
1362,498,Home,429.87,2023-11-14
1363,143,Toys,67.65,2023-07-20
1364,482,Electronics,372.47,2022-11-16
1365,106,Books,166.64,2022-05-06
1366,375,Home,494.32,2022-10-04
1367,428,Books,247.83,2022-07-23
1368,305,Electronics,69.99,2022-07-13
1369,360,Home,365.34,2023-11-12
1370,459,Books,168.28,2023-10-26
1371,317,Clothing,498.57,2023-07-01
1372,451,Electronics,490.09,2023-11-27
1373,123,Electronics,331.51,2022-10-13
1374,390,Electronics,73.61,2022-02-26
1375,9,Clothing,346.56,2022-10-30
1376,262,Clothing,55.58,2022-06-12
1377,73,Toys,24.39,2022-01-19
1378,359,Books,413.25,2023-01-05
1379,223,Toys,112.78,2022-09-21
1380,416,Books,195.72,2022-04-23
1381,41,Clothing,486.99,2023-05-03
1382,370,Clothing,175.05,2022-11-23
1383,204,Toys,155.28,2023-06-26
1384,264,Home,459.92,2023-10-09
1385,328,Toys,64.27,2023-08-02
1386,178,Books,382.2,2022-03-06
1387,348,Toys,494.15,2022-10-19
1388,318,Electronics,451.64,2022-01-25
1389,84,Books,329.32,2023-07-03
1390,318,Books,163.89,2022-01-01
1391,111,Home,134.62,2023-07-03
1392,251,Clothing,411.44,2022-05-21
1393,383,Books,441.11,2023-10-10
1394,7,Clothing,267.46,2022-07-07
1395,459,Toys,129.73,2022-05-08
1396,84,Electronics,65.34,2022-07-20
1397,208,Home,52.72,2022-05-07
1398,388,Clothing,362.35,2022-09-14
1399,390,Books,215.86,2023-11-07
1400,314,Clothing,453.63,2023-07-01
1401,22,Books,372.44,2022-07-13
1402,410,Clothing,103.72,2023-12-04
1403,383,Books,310.75,2022-04-14
1404,3,Toys,223.4,2023-06-19
1405,127,Books,292.85,2022-09-22
1406,297,Books,371.65,2023-01-19
1407,188,Electronics,405.04,2022-09-17
1408,362,Books,423.43,2023-02-18
1409,14,Electronics,134.45,2022-12-24
1410,459,Home,25.25,2022-03-16
1411,466,Electronics,372.25,2022-12-21
1412,12,Toys,62.11,2023-08-07
1413,87,Electronics,164.31,2022-07-07
1414,12,Home,11.87,2023-11-16
1415,397,Toys,344.02,2022-10-17
1416,25,Clothing,91.89,2022-02-14
1417,301,Clothing,331.09,2023-07-27
1418,243,Electronics,495.95,2022-03-24
1419,122,Electronics,45.61,2022-05-03
1420,147,Home,47.77,2022-12-24
1421,55,Home,176.79,2023-06-12
1422,238,Books,434.53,2022-03-07
1423,356,Home,115.61,2023-10-19
1424,173,Books,186.59,2023-01-10
1425,392,Toys,43.57,2022-06-11
1426,221,Electronics,383.95,2023-01-15
1427,119,Toys,210.07,2023-10-18
1428,309,Home,382.03,2022-12-24
1429,183,Toys,452.77,2022-07-07
1430,288,Toys,124.05,2022-11-18
1431,307,Toys,405.62,2023-03-26
1432,300,Home,38.96,2023-04-19
1433,82,Toys,450.44,2022-01-13
1434,454,Books,328.88,2022-07-03
1435,402,Home,438.37,2022-04-21
1436,211,Toys,10.09,2023-05-23
1437,150,Home,92.85,2022-10-17
1438,37,Clothing,200.98,2022-10-22
1439,352,Books,195.96,2023-03-27
1440,312,Toys,121.1,2022-08-03
1441,361,Clothing,196.99,2023-09-24
1442,59,Clothing,73.14,2023-07-21
1443,131,Home,212.25,2022-01-27
1444,412,Clothing,403.15,2023-09-22
1445,202,Books,244.74,2022-08-19
1446,243,Books,18.82,2023-07-19
1447,35,Electronics,216.51,2022-11-17
1448,445,Books,23.32,2022-08-21
1449,93,Clothing,483.46,2023-11-01
1450,438,Books,72.45,2023-03-13
1451,447,Home,356.77,2023-06-17
1452,207,Electronics,486.66,2023-02-07
1453,353,Clothing,414.76,2022-02-22
1454,391,Electronics,352.66,2022-11-09
1455,332,Clothing,421.34,2022-10-08
1456,305,Home,491.08,2023-12-27
1457,350,Electronics,314.46,2022-01-31
1458,213,Toys,284.0,2022-12-03
1459,159,Clothing,317.84,2022-07-02
1460,442,Toys,271.01,2022-01-23
1461,445,Electronics,321.19,2023-06-28
1462,24,Toys,230.42,2023-03-22
1463,404,Toys,117.04,2022-03-15
1464,293,Electronics,68.92,2022-01-10
1465,4,Home,43.49,2023-04-29
1466,220,Toys,139.02,2023-04-01
1467,364,Toys,32.6,2023-07-20
1468,382,Home,287.91,2023-07-18
1469,20,Toys,149.08,2023-10-22
1470,444,Toys,414.02,2022-06-09
1471,152,Toys,46.38,2022-01-14
1472,50,Books,120.91,2022-06-27
1473,177,Home,367.82,2023-02-16
1474,435,Toys,303.42,2022-02-22
1475,96,Home,41.6,2023-02-12
1476,105,Clothing,439.85,2022-01-22
1477,420,Clothing,439.86,2022-01-30
1478,250,Toys,171.9,2023-12-04
1479,117,Home,176.8,2022-09-17
1480,354,Home,494.62,2022-07-24
1481,228,Home,316.83,2022-02-28
1482,66,Books,270.35,2023-04-16
1483,335,Clothing,420.69,2023-04-11
1484,418,Home,149.79,2022-01-12
1485,420,Home,220.3,2023-09-23
1486,262,Books,141.21,2022-10-17
1487,295,Books,396.69,2022-12-20
1488,426,Home,290.94,2023-10-01
1489,243,Electronics,332.82,2022-03-16
1490,371,Home,133.63,2023-12-17
1491,186,Home,117.91,2023-07-15
1492,246,Books,249.3,2023-08-14
1493,125,Books,371.41,2023-03-17
1494,268,Home,267.37,2022-08-29
1495,131,Home,26.0,2022-06-03
1496,237,Home,435.59,2022-04-06
1497,18,Books,41.7,2023-12-27
1498,40,Home,478.35,2022-10-21
1499,21,Home,22.32,2022-07-28
1500,399,Toys,350.28,2022-12-09
